source;year;hub height (m);rotor diameter (m);inv.cost (curr/kW);country/area;currency;specific rating (W/m2);rotor area (m2);rated power (kW)
31;2015;139;110;1711;Germany;EUR;280;9503;2661
31;2015;125;102;1628;Germany;EUR;324;8171;2647
31;2015;125;102;1628;Germany;EUR;324;8171;2647
31;2015;100;102;1463;Germany;EUR;354;8171;2893
30;2013;130;100;1783;Germany;EUR;321;7854;2521
30;2013;130;100;1784;Germany;EUR;321;7854;2521
30;2013;130;100;1785;Germany;EUR;321;7854;2521
30;2013;110;90;1585;Germany;EUR;387;6362;2462
30;2013;110;90;1586;Germany;EUR;387;6362;2462
30;2013;110;90;1587;Germany;EUR;387;6362;2462
30;2013;100;90;1440;Germany;EUR;412;6362;2621
30;2013;100;90;1440;Germany;EUR;412;6362;2621
30;2013;100;90;1441;Germany;EUR;412;6362;2621
30;2013;100;90;1442;Germany;EUR;412;6362;2621
32;2010;80;82.5;2155;United States;USD;281;5346;1500
32;2011;80;82.5;2098;United States;USD;281;5346;1500
32;2012;80;93.5;1940;United States;USD;283;6866;1940
32;2013;82.7;96.9;1728;United States;USD;258;7375;1900
32;2014;82.7;99.4;1710;United States;USD;250;7760;1940
32;2015;80;113;1735;United States;USD;200;10029;2000
32;2015;80;104;1653;United States;USD;237;8495;2000
32;2015;80;102;1640;United States;USD;245;8171;2000
32;2015;80;100;1623;United States;USD;255;7854;2000
32;2015;80;89;1539;United States;USD;325;6221;2000
;;;;;;;;;
;;;;;;;;;
