Name,rotor,hub_height,age,power
AW-1500/70,35,60,10,1.5
AW-1500/77,38.5,60,10,1.5
AW-1500/82,41,80,7,1.5
AW-3000/100,50,100,7,3
AW-3000/109,54.5,95.5,4,3
AW-3000/116,58,92,4,3
AW-3000/125,62.5,87.5,3,3
AW-3000/132,66,84,2,3
AD 5-132,66,80,2,5
SCD 3.0/110,55,85,3,3
SCD 3.0/115,57.5,85,3,3
AW 2mW 100,50,85,0,2.05
AW 2mW 93,46.5,85,0,2.05
AW 3.3mW 120,60,90,0,3.3
AW 3mW 120,60,90,0,3
AW 3mW 132,66,100,0,3
aM 2.0/120,60,90,0,2
aM 3.0/103,51.45,80,0,3
Haliade 150,75.4,100,1,6
6.5,61,90,5,6.5
VM,61,90,6,5
800KVA,15.1,32,58,0.64
3000,50,90,4,3
B44/600,22,42,14,0.6
B50/750,25,60,21,0.75
B54/1000,27.05,50,19,1
B76/2000,38,60,14,2
B82/2300,41.2,80,13,2.3
Liberty C89,44.5,80,6,2.5
Liberty C93,46.5,80,11,2.5
Liberty C96,48,80,10,2.5
H82-2000,41.2,70,7,2
H93-2000,46.4,70,7,2
A300,15,30,20,0.3
D4,24,45,20,0.6
D4 46/600,23,55,20,0.6
D6,32.15,60,15,1.25
D6 62/1250,31.15,66,16,1.25
D6-1000,31,65,16,1
D8.0,40,80,14,2
D8.2,40,80,10,2
D9,46.5,80,5,2
92,46.4,103,6,2.2
114 3.5 MW,57.45,92,4,3.5
44,22,45,18,0.6
48,24,45,18,0.75
62,31,60,15,1.3
74,37,60,13,1.67
Tjæreborg,30.55,60,29,2
E101/3000,50.5,99,6,3
E101/3050,50.5,99,4,3.05
E103/2350,51.5,98,1,2.35
E112/4500,57,120,14,4.5
E112/6000,57,124,11,6
E115/2500,57.5,92.5,3,2.5
E115/3000,57.85,92,3,3
E115/3200,57.85,92,3,3.2
E126/4200,63.5,135,0,4.2
E126/6000,63.5,135,9,6
E141/4200,70.5,129,0,4.2
E30/200,15,36,22,0.2
E32/300,16,34,27,0.3
E33/330,16.7,37,12,0.33
E40/500,20,42,23,0.5
E44/900,22,45,10,0.9
E48/800,24,50,12,0.8
E53/800,26.45,60,10,0.8
E58/1000,29,59,17,1
E66/1500,33,67,21,1.5
E66/1800,33,67,17,1.8
E70/2000,35,64,14,2
E70/2300,35.5,57,11,2.3
E82/2000,41,78,11,2
E82/2300,41,78,7,2.3
E82/3000,41,59,6,3
E92/2350,46,78,4,2.35
750i,25,55,17,0.75
1.5-93,46.5,80,3,1.5
1.8-106,53,80,2,1.8
2.3-100,49.85,80,2,2.3
2.3-115,57.5,80,2,2.3
